연번,호선,역명,구주소,도로명 주소,전화번호
208,6,태릉입구,"서울특별시 노원구 공릉동 616-4 태릉입구역(6, 7호선)",서울특별시 노원구 동일로 지하992-1 (공릉동),02-6311-7170
209,6,화랑대(서울여대입구),서울특별시 노원구 공릉동 285-2 화랑대역,서울특별시 노원구 화랑로 지하510 (공릉동),02-6311-6460
210,6,봉화산(서울의료원),서울특별시 중랑구 신내동 643-1 봉화산역,서울특별시 중랑구 신내로 지하232 (신내동),02-6311-6470
211,7,장암,경기도 의정부시 장암동 160-8 장암역,경기도 의정부시 동일로 121 (장암동),02-6311-7090
212,7,도봉산,서울특별시 도봉구 도봉동 38-3 도봉산역,서울특별시 도봉구 도봉로 964-40 (도봉동),02-6311-7100
213,7,수락산,서울특별시 노원구 상계동 1132-9 수락산역,서울특별시 노원구 동일로 지하1662 (상계동),02-6311-7110
214,7,마들,서울특별시 노원구 상계동 650 마들역,서울특별시 노원구 동일로 지하1530-1 (상계동),02-6311-7120
215,7,노원,서울특별시 노원구 상계동 729-0 노원역(7호선),서울특별시 노원구 동일로 지하1409 (상계동),02-6311-7130
216,7,중계,서울특별시 노원구 중계동 503-3 중계역,서울특별시 노원구 동일로 지하1308-1 (중계동),02-6311-7140
217,7,하계,서울특별시 노원구 하계동 273-5 하계역,서울특별시 노원구 동일로 지하1196(하계동),02-6311-7150
218,7,공릉(서울과학기술대),서울특별시 노원구 공릉동 385-4 공릉역,서울특별시 노원구 동일로 지하1074 (공릉동),02-6311-7160
219,7,태릉입구,"서울특별시 노원구 공릉동 616-4 태릉입구역(6, 7호선)",서울특별시 노원구 동일로 지하992-1 (공릉동),02-6311-7170
220,7,먹골,서울특별시 중랑구 묵동 189-5 먹골역,서울특별시 중랑구 동일로 지하901(묵동),02-6311-7180
221,7,중화,서울특별시 중랑구 중화동 50-3 중화역,서울특별시 중랑구 동일로 지하797 (중화동),02-6311-7190
222,7,상봉(시외버스터미널),서울특별시 중랑구 상봉동 160-7 상봉역,서울특별시 중랑구 망우로 지하297 (상봉동),02-6311-7200
223,7,면목,서울특별시 중랑구 면목동 282-6 면목역,서울특별시 중랑구 면목로 지하407(면목동),02-6311-7210
224,7,사가정,서울특별시 중랑구 면목동 495 사가정역,서울특별시 중랑구 사가정로 지하393 (면목동),02-6311-7220
225,7,용마산,서울특별시 중랑구 면목동 1382-13 용마산역,서울특별시 중랑구 용마산로 지하227(면목동),02-6311-7230
226,7,중곡,서울특별시 광진구 중곡동 273-2 중곡역,서울특별시 광진구 능동로 지하417 (중곡동),02-6311-7240
227,7,군자(능동),"서울특별시 광진구 능동 275-5 군자역(5, 7호선)",서울특별시 광진구 천호대로 지하550 (능동) ,02-6311-5440
228,7,어린이대공원(세종대),서울특별시 광진구 화양동 164-1 어린이대공원역,서울특별시 광진구 능동로 지하210(화양동),02-6311-7260
229,7,건대입구,서울특별시 광진구 화양동 6-3 건대입구역(7호선),서울특별시 광진구 능동로 지하110 (화양동),02-6311-7270
230,7,뚝섬유원지,서울특별시 광진구 자양동 73-2 뚝섬유원지역,서울특별시 광진구 능동로 10 (자양동),02-6311-7280
231,7,청담,서울특별시 강남구 청담동 77-76 청담역,서울특별시 강남구 학동로 지하508 (청담동),02-6311-7290
232,7,강남구청,서울특별시 강남구 삼성동 111-44 강남구청역,서울특별시 강남구 학동로 지하346 (삼성동),02-6311-7300
233,7,학동,서울특별시 강남구 논현동 279-67 학동역,서울특별시 강남구 학동로 지하180(논현동),02-6311-7310
234,7,논현,서울특별시 강남구 논현동 280 논현역,서울특별시 강남구 학동로 지하102(논현동),02-6311-7320
235,7,반포,서울특별시 서초구 잠원동 103 반포역,서울특별시 서초구 신반포로 지하241(잠원동),02-6311-7330
236,7,고속터미널,서울특별시 서초구 반포동 19-11 고속터미널역(7호선),서울특별시 서초구 신반포로 지하188 (반포동),02-6311-7340
237,7,내방,서울특별시 서초구 방배동 874-16 내방역,서울특별시 서초구 서초대로 지하103 (방배동),02-6311-7350
238,7,이수,서울특별시 동작구 사당동 144-4 이수역,서울특별시 동작구 사당로 지하310 (사당동),02-6311-7360
239,7,남성,서울특별시 동작구 사당동 산 25-33 남성역,서울특별시 동작구 사당로 지하218 (사당동),02-6311-7370
240,7,숭실대입구(살피재),서울특별시 동작구 상도동 514 숭실대입구역,서울특별시 동작구 상도로 지하378(상도동),02-6311-7380
241,7,상도,서울특별시 동작구 상도1동 702-1 상도역,서울특별시 동작구 상도로 지하272(상도1동),02-6311-7390
242,7,장승배기,서울특별시 동작구 상도동 26-20 장승배기역,서울특별시 동작구 상도로 지하188(상도동),02-6311-7400
243,7,신대방삼거리,서울특별시 동작구 대방동 406-10 신대방삼거리역,서울특별시 동작구 상도로 지하76 (대방동),02-6311-7410
244,7,보라매,서울특별시 동작구 대방동 466-51 보라매역,서울특별시 동작구 상도로 지하2(대방동),02-6311-7420
245,7,신풍,서울특별시 영등포구 신길동 3599 신풍역,서울특별시 영등포구 신풍로 지하27(신길동),02-6311-7430
246,7,대림(구로구청),서울특별시 구로구 대림동 1050-17 대림역(7호선),서울특별시 영등포구 도림로 지하137(대림동),02-6311-7440
247,7,남구로,서울특별시 구로구 구로동 801-95 남구로역,서울특별시 구로구 도림로 지하7(구로동),02-6311-7450
248,7,가산디지털단지,서울특별시 금천구 가산동 54-3 가산디지털단지역,서울특별시 금천구 벚꽃로 309 (가산동),02-6311-7460
249,7,철산,경기도 광명시 철산동 526 철산역,경기도 광명시 철산로 지하13 (철산동),02-6311-7470
250,7,광명사거리,경기도 광명시 광명동 158-211 광명사거리역,경기도 광명시 오리로 지하980(광명동),02-6311-7480
251,7,천왕,서울특별시 구로구 오류동 174-6 천왕역,서울특별시 구로구 오리로 지하1154(오류동),02-6311-7490
252,7,온수(성공회대입구),서울특별시 구로구 온수동 53-1 온수역(7호선),서울특별시 구로구 경인로3길 지하64 (온수동),02-6311-7500
253,7,까치울,경기도 부천시 원미구 춘의동 3-1 까치울역,경기도 부천시 원미구 길주로 지하626(춘의동),02-6311-7510
254,7,부천종합운동장,경기도 부천시 원미구 춘의동 15-1 부천종합운동장역,경기도 부천시 원미구 길주로 지하502(춘의동),02-6311-7520
255,7,춘의,경기도 부천시 원미구 춘의동 145 춘의역,경기도 부천시 원미구 길주로 지하406 (춘의동),02-6311-7530
256,7,신중동,경기도 부천시 원미구 중동 1140-6 신중동역,경기도 부천시 원미구 길주로 지하314 (중동),02-6311-7540
257,7,부천시청,경기도 부천시 원미구 중동 1243 부천시청역,경기도 부천시 원미구 길주로 지하202(중동),02-6311-7550
258,7,상동,경기도 부천시 원미구 상동 633 상동역,경기도 부천시 원미구 길주로 지하104(상동),02-6311-7560
259,7,삼산체육관,인천광역시 부평구 삼산동 466 삼산체육관역,인천광역시 부평구 길주로 지하713 (삼산동),02-6311-7570
260,7,굴포천,인천광역시 부평구 삼산동 466 굴포천역,인천광역시 부평구 길주로 지하623 (삼산동),02-6311-7580
261,7,부평구청,인천광역시 부평구 갈산동 193-45 부평구청역,인천광역시 부평구 길주로 지하527(갈산동),02-6311-7590
262,8,암사,서울특별시 강동구 암사동 501 암사역,서울특별시 강동구 올림픽로 지하776 (암사동),02-6311-8100
263,8,천호(풍납토성),"서울특별시 강동구 천호동 455 천호역(5, 8호선)",서울특별시 강동구 천호대로 지하997 (천호동),02-6311-5470
264,8,강동구청,서울특별시 강동구 성내동 319 강동구청역,서울특별시 강동구 올림픽로 지하550 (성내동),02-6311-8120
265,8,몽촌토성(평화의문),서울특별시 송파구 신천동 19 몽촌토성역,서울특별시 송파구 올림픽로 지하383 (신천동),02-6311-8130
266,8,잠실(송파구청),서울특별시 송파구 잠실동 7-4 잠실역(8호선),서울특별시 송파구 올림픽로 305 (신천동),02-6311-8140
267,8,석촌,서울특별시 송파구 석촌동 209 석촌역,서울특별시 송파구 송파대로 지하439(석촌동),02-6311-8150
268,8,송파,서울특별시 송파구 가락동 459-4 송파역,서울특별시 송파구 송파대로 지하354 (가락동),02-6311-8160
269,8,가락시장,"서울특별시 송파구 가락동 184-23 가락시장역(3, 8호선)",서울특별시 송파구 송파대로 지하257(가락동),02-6311-8170
270,8,문정,서울특별시 송파구 문정동 119-4 문정역,서울특별시 송파구 송파대로 지하179 (문정동),02-6311-8180
271,8,장지,서울특별시 송파구 장지동 201-5 장지역,서울특별시 송파구 송파대로 지하82(장지동),02-6311-8190
272,8,복정,서울특별시 송파구 장지동 596-21 복정역,서울특별시 송파구 송파대로 지하6 (장지동),02-6311-8200
273,8,산성,경기도 성남시 수정구 신흥동 7-4 산성역,경기도 성남시 수정구 수정로 지하365(신흥동),02-6311-8210
274,8,"남한산성입구(성남법원,검찰청)",경기도 성남시 수정구 단대동 96 남한산성입구역,경기도 성남시 수정구 산성대로 지하445 (단대동) ,02-6311-8220
275,8,단대오거리,경기도 성남시 수정구 신흥동 2467 단대오거리역,경기도 성남시 수정구 산성대로 지하365 (신흥동),02-6311-8230
276,8,신흥,경기도 성남시 수정구 신흥동 2467 신흥역,경기도 성남시 수정구 산성대로 지하280 (신흥동),02-6311-8240
277,8,수진,경기도 성남시 수정구 수진동 2205-1 수진역,경기도 성남시 수정구 산성대로 지하200 (수진동),02-6311-8250
278,8,모란,경기도 성남시 수정구 수진동 4808 모란역,경기도 성남시 수정구 산성대로 100(수진동),02-6311-8260
